text,label,processed_text,email_length,word_count,url_count
Happy Birthday! Wishing you a wonderful day filled with joy and celebration.,0,happi birthday wish wonder day fill joy celebr,76,8,0
"You have received a money transfer of $50,000. Claim it now: http://fake-transfer.com",1,receiv money transfer claim,85,4,1
Your package is held at customs. Pay fees to release: http://fake-shipping.com,1,packag held custom pay fee releas,78,6,1
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,flight book confirm flight decemb great trip,86,7,0
IMPORTANT: Your credit card will be charged $500 unless you cancel immediately. Click here: http://scam-site.com,1,import credit card charg unless cancel immedi click,112,8,1
"Congratulations! You have won $10,000 in our lottery. Claim your prize now by clicking here: http://fake-lottery.com",1,congratul lotteri claim prize click,116,5,1
"Hi John, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,john hope well want follow meet yesterday best regard sarah,103,10,0
"You have received a money transfer of $50,000. Claim it now: http://fake-transfer.com",1,receiv money transfer claim,85,4,1
IMPORTANT: Your credit card will be charged $500 unless you cancel immediately. Click here: http://scam-site.com,1,import credit card charg unless cancel immedi click,112,8,1
Your package is held at customs. Pay fees to release: http://fake-shipping.com,1,packag held custom pay fee releas,78,6,1
Your monthly bank statement is now available. You can view it by logging into your account.,0,monthli bank statement avail view log account,91,7,0
Project update: The new feature has been deployed to production. Please test and provide feedback.,0,project updat new featur deploy product pleas test provid feedback,98,10,0
Your Amazon account has been suspended. Restore access here: http://fake-amazon.com,1,amazon account suspend restor access,83,5,1
Thank you for attending our webinar. The recording and slides are now available for download.,0,thank attend webinar record slide avail download,93,7,0
"Congratulations! You have won $10,000 in our lottery. Claim your prize now by clicking here: http://fake-lottery.com",1,congratul lotteri claim prize click,116,5,1
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank order item ship within busi day,85,7,0
Your package is held at customs. Pay fees to release: http://fake-shipping.com,1,packag held custom pay fee releas,78,6,1
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,flight book confirm flight decemb great trip,86,7,0
URGENT: Your account will be suspended unless you verify your information immediately. Click here: http://fake-bank.com/verify,1,urgent account suspend unless verifi inform immedi click,126,8,1
Your PayPal account has been limited. Please verify your account by clicking here: http://fake-paypal.com/verify,1,paypal account limit pleas verifi account click,112,7,1
Meeting reminder: Team standup at 10 AM tomorrow in conference room B. Please bring your progress reports.,0,meet remind team standup tomorrow confer room pleas bring progress report,106,11,0
"Hi John, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,john hope well want follow meet yesterday best regard sarah,103,10,0
Your monthly bank statement is now available. You can view it by logging into your account.,0,monthli bank statement avail view log account,91,7,0
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank order item ship within busi day,85,7,0
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank order item ship within busi day,85,7,0
URGENT: Your account will be suspended unless you verify your information immediately. Click here: http://fake-bank.com/verify,1,urgent account suspend unless verifi inform immedi click,126,8,1
IRS Notice: You owe back taxes. Pay immediately to avoid penalties: http://fake-irs.com,1,ir notic owe back tax pay immedi avoid penalti,87,9,1
IMPORTANT: Your credit card will be charged $500 unless you cancel immediately. Click here: http://scam-site.com,1,import credit card charg unless cancel immedi click,112,8,1
Your monthly bank statement is now available. You can view it by logging into your account.,0,monthli bank statement avail view log account,91,7,0
Your PayPal account has been limited. Please verify your account by clicking here: http://fake-paypal.com/verify,1,paypal account limit pleas verifi account click,112,7,1
Your subscription to our newsletter has been confirmed. Thank you for subscribing!,0,subscript newslett confirm thank subscrib,82,5,0
Limited time offer! Get rich quick with our guaranteed investment scheme. Act now!,1,limit time offer get rich quick guarante invest scheme act,82,10,0
Thank you for attending our webinar. The recording and slides are now available for download.,0,thank attend webinar record slide avail download,93,7,0
"Hi John, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,john hope well want follow meet yesterday best regard sarah,103,10,0
Reminder: Your appointment is scheduled for tomorrow at 2 PM. Please arrive 15 minutes early.,0,remind appoint schedul tomorrow pleas arriv minut earli,93,8,0
IMPORTANT: Your credit card will be charged $500 unless you cancel immediately. Click here: http://scam-site.com,1,import credit card charg unless cancel immedi click,112,8,1
Security Alert: Unusual activity detected on your account. Verify your identity immediately: http://suspicious-site.com,1,secur alert unusu activ detect account verifi ident immedi,119,9,1
Your subscription to our newsletter has been confirmed. Thank you for subscribing!,0,subscript newslett confirm thank subscrib,82,5,0
Reminder: Your appointment is scheduled for tomorrow at 2 PM. Please arrive 15 minutes early.,0,remind appoint schedul tomorrow pleas arriv minut earli,93,8,0
Happy Birthday! Wishing you a wonderful day filled with joy and celebration.,0,happi birthday wish wonder day fill joy celebr,76,8,0
Security Alert: Unusual activity detected on your account. Verify your identity immediately: http://suspicious-site.com,1,secur alert unusu activ detect account verifi ident immedi,119,9,1
Your PayPal account has been limited. Please verify your account by clicking here: http://fake-paypal.com/verify,1,paypal account limit pleas verifi account click,112,7,1
Your monthly bank statement is now available. You can view it by logging into your account.,0,monthli bank statement avail view log account,91,7,0
"Hi John, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,john hope well want follow meet yesterday best regard sarah,103,10,0
URGENT: Your account will be suspended unless you verify your information immediately. Click here: http://fake-bank.com/verify,1,urgent account suspend unless verifi inform immedi click,126,8,1
Meeting reminder: Team standup at 10 AM tomorrow in conference room B. Please bring your progress reports.,0,meet remind team standup tomorrow confer room pleas bring progress report,106,11,0
IRS Notice: You owe back taxes. Pay immediately to avoid penalties: http://fake-irs.com,1,ir notic owe back tax pay immedi avoid penalti,87,9,1
URGENT: Your account will be suspended unless you verify your information immediately. Click here: http://fake-bank.com/verify,1,urgent account suspend unless verifi inform immedi click,126,8,1
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank order item ship within busi day,85,7,0
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,flight book confirm flight decemb great trip,86,7,0
Your flight booking confirmation for Flight AA123 on December 15th. Have a great trip!,0,flight book confirm flight decemb great trip,86,7,0
"Hi John, Hope you're doing well. Just wanted to follow up on our meeting yesterday. Best regards, Sarah",0,john hope well want follow meet yesterday best regard sarah,103,10,0
Limited time offer! Get rich quick with our guaranteed investment scheme. Act now!,1,limit time offer get rich quick guarante invest scheme act,82,10,0
IMPORTANT: Your credit card will be charged $500 unless you cancel immediately. Click here: http://scam-site.com,1,import credit card charg unless cancel immedi click,112,8,1
"You have received a money transfer of $50,000. Claim it now: http://fake-transfer.com",1,receiv money transfer claim,85,4,1
Thank you for attending our webinar. The recording and slides are now available for download.,0,thank attend webinar record slide avail download,93,7,0
Thank you for your order #12345. Your items will be shipped within 2-3 business days.,0,thank order item ship within busi day,85,7,0
